Charity ID,Name,Phone,Email,Address,Postcode,Latitude,Longitude,Website,Causes
272732,1St Crockerne Scout Group,01275372317,firstcrockernescouts@hotmail.com,"Scout Hq, 14A Priory Road, Easton-In-Gordano, Bristol",BS20 0PA,51.478098,-2.697786,, Education / Training - Children / Youth
308172,1St Pucklechurch Scout Group,01173039029,andrewphillips100@hotmail.com,"Scout Hut,  Abson Road, Pucklechurch, Bristol",BS16 9RH,51.485497,-2.433021,http://www.pucklechurchscouts.org.uk, Sport & Recreation - Children / Youth - Elderly - Disability
1196247,1St Yate Scout Group,07904160044,gsl@1styatescouts.org.uk,"1St Yate Scout Group, Church Road, Yate, Church Road",BS37 5BG,51.543434,-2.412115,https://1styatescouts.org.uk, Economic / Community - Children / Youth
1184621,256Th Bristol Christchurch Hengrove Scouts,07975671084,256thchristchurchscouts@gmail.com,"Scout Hq At Rear Of Christ Church, Petherton Road, Bristol",BS14 9BP,51.421823,-2.563336,, Education / Training - Children / Youth
302164,63Rd Bristol (St Andrew With St Bartholomew) Scout Group,07710484478,admin@hut6388.org,"Scout Hut, St Bartholomews Road, Bristol",BS7 9BJ,51.474896,-2.582708,http://www.hut6388.org, Education / Training - Children / Youth
1179345,A Life For A Cure – Ryan Bresnahan’S Meningitis Appeal,07971878737,michellebres@btinternet.com,"The Old School, Wood Lane, Clapton In Gordano, Bristol",BS20 7RQ,51.459634,-2.760664,http://www.ryanbresnahan.org/, Health / Medical - Children / Youth
1191133,Action For Education,07515110657,uk@actionforeducation.org,"1 Edward Street, Eastville, Bristol",BS5 6LW,51.472181,-2.553058,http://www.actionforeducation.org, Education / Training - Disability - Human rights - Children / Youth
1179825,Addison'S Disease Self Help Group,01172140473,enquiries@addisons.org.uk,"Addisons Disease Self Help Group, Starling House, 1600 Bristol Parkway North, Bristol",BS34 8YU,51.517674,-2.53241,http://www.addisonsdisease.org.uk, Health / Medical - Children / Youth - Elderly - Disability
1172697,Aid Box Community,01173368441,imogen@aidboxcommunity.co.uk,"Aid Box Community, 174 Cheltenham Road, Bristol",BS6 5RE,51.46662,-2.590421,http://www.aidboxcommunity.co.uk, Disability - Poverty - Children / Youth - Elderly - Ethnic / Racial
1132708,Alive Activities Limited,01173774756,info@aliveactivities.org,"The Create Centre, Smeaton Road, Bristol",BS1 6XN,51.447107,-2.622286,http://www.aliveactivities.org, Children / Youth - Elderly
1175681,All Chipping In,01454313715,peterheffer@blueyonder.co.uk,"23 Carmarthen Close, Yate, Bristol",BS37 7RR,51.550551,-2.405488,, Education / Training - Health / Medical - Economic / Community - Children / Youth
1151374,All-Aboard! Water Sport And Water Recreational Activity (Bristol),01179290801,admin@allaboardwatersports.co.uk,"All Aboard Water Sports, Baltic Wharf, Cumberland Road, Bristol",BS1 6XG,51.44633,-2.617342,http://www.allaboardwatersports.co.uk, Disability - Poverty - Sport & Recreation - Children / Youth - Elderly
1192928,Almondsbury Parish Hall And Recreation Ground,01454612240,admin@asacc.org.uk,"Almondsbury Sports & Social Centre, Gloucester Road, Almondsbury, Bristol",BS32 4AA,51.551739,-2.569714,, Sport & Recreation - Children / Youth - Elderly - Disability
1180208,Almondsbury Tennis Club,07771903588,information@almondsburytennis.org.uk,"Almondsbury Tennis Club, Almondsbury Sports & Social Centre, Gloucester Road, Almondsbury, Bristol",BS32 4AA,51.551739,-2.569714,http://almondsburytennis.org.uk, Sport & Recreation - Children / Youth - Elderly - Disability
269297,Alveston C Of E Primary School Parent/Teacher Association,01454866530,sthelensprimary.school@southglos.gov.uk,"St. Helens C Of E Primary School, Greenhill, Alveston, Bristol",BS35 2QX,51.587796,-2.531049,http://www.sthelensprimaryalveston.org.uk, Education / Training - Children / Youth
1152237,Ambition Lawrence Weston,01179235112,mark@ambition-lw.org.uk,"Lawrence Weston Community Centre, Long Cross, Bristol, Bristol, Bristol",BS11 0RX,51.505231,-2.653176,http://www.ambitionlw.org, Poverty - Children / Youth - Elderly - Disability
1121125,Anglo Polish Society Bristol And The South West,01199572724,anglopolishsoc@gmail.com,"Co The British Commonwealth Society, 14 Whiteladies Road, Clifton, Bristol",BS8 1PD,51.459493,-2.609128,http://anglopolishsociety.org, Education / Training - Children / Youth
1175454,Appleshed Inclusive Theatre Company,01934833126,love@appleshed.org.uk,"St. Andrews Church, Station Road, Congresbury, Bristol",BS49 5DX,51.371399,-2.813993,http://www.appleshed.org.uk, Religious - Children / Youth - Elderly - Disability
1172556,Ardagh Community Trust,07592422706,info@theardagh.com,"The Ardagh, Ardagh Pavilion, Kellaway Avenue, Bristol",BS6 7YL,51.485118,-2.595642,http://www.theardagh.com, Education / Training - Health / Medical - Poverty - Religious - Human rights - Children / Youth
1173072,Arkbound Foundation,01174637197,info@arkfound.org,"6 York Court, Wilder Street, Bristol",BS2 8QH,51.461399,-2.588366,http://www.arkfound.org, Education / Training - Disability - Arts / culture / science - Environment - Human rights - Children / Youth - Elderly - Ethnic / Racial
1184194,Arlington Garden Association,01174011077,arlingtongardenbristol@gmail.com,"C/O Garden Flat, 4 Arlington Villas, Bristol",BS8 2ED,51.458646,-2.61313,http://www.facebook.com/arlingtongarden.org.uk/, Education / Training - Environment - Sport & Recreation - Children / Youth - Elderly - Disability
311504,Arnolfini Gallery Cio,01179172300,info@arnolfini.org.uk,"Arnolfini Gallery Ltd, Narrow Quay, Bristol",BS1 4QA,51.449896,-2.597271,http://www.arnolfini.org.uk, Education / Training - Poverty - Economic / Community - Human rights - Children / Youth - Disability
1194112,Art In Motion Charitable Trust,07971618112,aim4arts@yahoo.co.uk,"Studio 45,  Spike Island Artspace, 133 Cumberland Road, Bristol",BS1 6UX,51.446975,-2.609592,http://www.artinmotion45.com, Education / Training - Arts / culture / science - Children / Youth
1154025,Ashley Down After School Club And Holiday Playscheme,01179040043,info@ashleydownafterschoolclub.org.uk,"Bristol Civil Service Club  Annexe, Filton Avenue, Horfield, Bristol",BS7 0AT,51.489205,-2.580226,http://www.ashleydownafterschoolclub.org.uk, Education / Training - Sport & Recreation - Children / Youth
1193842,Association For The Understanding Of Artificial Intelligence,07913997706,aihuborg@gmail.com,"Bristol Robotics Laboratory, T-Block, University Of The West Of England, Bristol",BS16 1QY,51.501079,-2.547458,https://aihub.org/, Education / Training - Environment - Children / Youth - Elderly
1168492,Aura Ion Foundation,07983317051,contactus@auraion.co.uk,"11 Hammond Road, Patchway, Bristol",BS34 5AN,51.528349,-2.579527,http://www.auraion.co.uk, Poverty - Overseas aid / famine - Children / Youth - Elderly
1185467,Auti.Ms,07873654719,enquiries@auti-ms.co.uk,"37 Well Close, Long Ashton, Bristol",BS41 9NB,51.430188,-2.654679,http://www.girlshaveautismtoo.org.uk, Education / Training - Health / Medical - Disability - Human rights - Children / Youth
1181277,Autism Advocacy,07878931511,info@autismadvocacy.co.uk,"Suite 413, 179 Whiteladies Road, Clifton, Bristol",BS8 2AG,51.469153,-2.613876,, Education / Training - Health / Medical - Human rights - Children / Youth - Elderly - Disability - Ethnic / Racial
900377,Avon Gardens Trust,07748507166,chairman@avongardenstrust.org.uk,"The Create Centre, Smeaton Road, Bristol",BS1 6XN,51.447107,-2.622286,http://www.avongardenstrust.org.uk, Children / Youth - Elderly
1188388,Avon Tennis,07479260615,tennis@avontennis.org.uk,"Coombe Dingle Sports Centre, Coombe Lane, Bristol",BS9 2BJ,51.488117,-2.632436,http://www.avontennis.org.uk, Sport & Recreation - Children / Youth - Elderly - Disability
1164391,Avon Youth Club,07974813319,mattdavid38@gmail.com,"1A Raynes Road, Bristol",BS3 2DJ,51.439593,-2.618227,, Sport & Recreation - Children / Youth
1151356,Avonmouth Community Centre Association,01179827445,info@avonmouthcca.org.uk,"Avonmouth Community Centre, 257 Avonmouth Road, Avonmouth, Bristol",BS11 9EN,51.500428,-2.698675,http://www.avonmouthcca.org.uk, Education / Training - Health / Medical - Arts / culture / science - Sport & Recreation - Economic / Community - Children / Youth - Elderly - Disability
301674,Avonmouth Park,01179222428,budgets.and.accounting@bristol.gov.uk,"Accoutant, Corporate Finance, The Council House, College Green, Bristol",BS1 5TR,51.452614,-2.602042,, Education / Training - Disability - Poverty - Children / Youth
1188702,Ba-Biggie Foundation,07944281036,omba_2000@yahoo.se,"27 Wood Street, Patchway, Bristol",BS34 5AH,51.528313,-2.581042,http://www.nemamisirahnursery.co.uk/contact, Education / Training - Health / Medical - Poverty - Children / Youth
1165381,Baby Bank Network,01173218048,info@babybanknetwork.com,"Ground Floor, Unit 5, Stoke View Business Park, Stoke View Road, Bristol",BS16 3AE,51.477049,-2.538602,http://www.babybanknetwork.com, Health / Medical - Poverty - Environment - Children / Youth
1173205,Bannerman Road Community School Pta,01173772080,bannermanroadpta@gmail.com,"Bannerman Road Community Academy, All Hallows Road, Bristol",BS5 0HR,51.463702,-2.564183,http://www.bannermanroadpta.org.uk, Children / Youth
1190671,Bdf,07921465493,info@bathdf.co.uk,"556 Bath Road, Saltford, Bristol",BS31 3JN,51.397973,-2.450105,http://www.bathdf.co.uk, Education / Training - Children / Youth
1190047,Begin Well,7886287339,"info@beginwell.org,uk","West Hill House, West Hill, Wraxall, Bristol",BS48 1PH,51.448381,-2.745673,http://www.beginwell.org.uk, Education / Training - Health / Medical - Disability - Poverty - Religious - Children / Youth
1155237,Bethel Tabernacle Of God International,07952226235,bethel7tabernacle@gmail.com,"St Gabriels Boys, , Woodborough Street, , Easton, Bristol, Uk",BS5 0JB,51.465005,-2.568144,, Religious - Children / Youth - Elderly
1192240,Better Urbanism For Bristol,01173763832,mmp997@gmail.com,"235 High Kingsdown, Bristol",BS2 8DG,51.461675,-2.601223,, Environment - Economic / Community - Sport & Recreation - Children / Youth - Elderly
1174332,Bishop Sutton Community Church,01275332746,bishopsuttoncommunitychurch@hotmail.com,"24 Highmead Gardens, Bishop Sutton, Bristol",BS39 5XB,51.332423,-2.595124,http://www.bishopsuttoncommunitychurch.com, Religious - Children / Youth - Elderly - Disability
1172849,Bishop Sutton Pre-School And Forest Club,01761221622,bsps@hotmail.co.uk,"White Rose Cottage, Ridge Lane, West Harptree, Bristol",BS40 6ED,51.308269,-2.631552,http://www.bishopsuttonpreschool.org.uk, Education / Training - Children / Youth
1162285,Bitton Pre School,01179326042,bittonpreschool@googlemail.com,"Bitton Sports & Social Club, Bath Road, Bitton, Bristol",BS30 6HX,51.430287,-2.468993,http://www.bittonpreschool.com, Education / Training - Children / Youth
1192436,Black2Nature,07798818772,admin@black2nature.org,"257 Ashley Down Road, Bristol",BS7 9BW,51.475777,-2.580806,https://www.birdgirluk.com/2020/01/black2nature.html, Education / Training - Health / Medical - Disability - Poverty - Arts / culture / science - Animals - Environment - Economic / Community - Human rights - Children / Youth - Elderly - Ethnic / Racial
1160376,Blaise Community Garden,07854714085,info@blaisecommunitygarden.org.uk,"The Old House, Rectory Gardens, Bristol",BS10 7AQ,51.506252,-2.629229,http://blaisecommunitygarden.org.uk, Education / Training - Environment - Sport & Recreation - Children / Youth - Elderly - Disability
1161520,Bourne Christian Centre,01179478441,finance@bournechristiancentre.org,"Bourne Christian Centre, Bourne Chapel, Waters Road, Bristol",BS15 8BE,51.462705,-2.515157,http://www.bournechristiancentre.org, Education / Training - Poverty - Overseas aid / famine - Religious - Children / Youth
1163856,Brain Tumour Support,01454414355,info@braintumoursupport.co.uk,"Brain Tumour Support, 7A St Mary Street, Thornbury, Bristol, Gloucestershire",BS35 2AB,51.607759,-2.524726,http://www.braintumoursupport.co.uk, Education / Training - Disability - Economic / Community - Children / Youth
1183118,Bricks,07780503180,russell@bricksbristol.org,"St. Annes House, St. Annes Road, St. Annes Park, Bristol",BS4 4AB,51.452617,-2.548519,http://www.bricksbristol.org, Arts / culture / science - Children / Youth - Elderly - Disability
1109459,Brightwell Neurological Support Centre Limited,01454201686,hello@thebrightwell.org.uk,"Bradbury House, Wheatfield Drive, Bradley Stoke, Bristol",BS32 9DB,51.539054,-2.552369,https://www.thebrightwell.org.uk, Disability - Children / Youth - Elderly - Ethnic / Racial
276235,Brimsham Green School Association,01454868888,finance@brimsham.com,"Brimsham Green School, Broad Lane, Yate, Bristol",BS37 7LB,51.551761,-2.426916,, Education / Training - Health / Medical - Disability - Sport & Recreation - Economic / Community - Children / Youth - Elderly
1079401,Bristol And Avon Chinese Women'S Group,01179351462,admin.bacwg@btconnect.com,"Bristol & Avon Chinese Womens Group, The Vassall Centre, Gill Avenue, Bristol",BS16 2QQ,51.486106,-2.522305,http://www.bacwg.org.uk, Education / Training - Disability - Economic / Community - Human rights - Children / Youth - Elderly
295799,Bristol And Avon Family History Society,01275830869,chairman@bafhs.org.uk,"Bristol  And Avon Fhs, C/O Bristol Archives, B Bond Warehouse, Smeaton Road, Bristol",BS1 6XN,51.447107,-2.622286,http://www.bafhs.org.uk, Children / Youth - Elderly
1182217,Bristol And Bath Parks Foundation,07870110428,info@yourpark.org.uk,"St. George Community Centre, Church Road, St. George, Bristol",BS5 8AA,51.459578,-2.548443,https://www.yourpark.org.uk/, Children / Youth - Elderly
1150295,Bristol And South Gloucestershire Circuit Of The Methodist Church,01179518822,circuitoffice1@btconnect.com,"Horfield Methodist Church, Churchways Avenue, Bristol",BS7 8SN,51.486537,-2.587091,http://www.bsgc.org.uk, Religious - Children / Youth - Elderly - Disability
1186287,Bristol Autism Support,07787452164,info@bristolautismsupport.org,"Knowle West Media Centre, Leinster Avenue, Bristol",BS4 1NL,51.425392,-2.592522,https://www.bristolautismsupport.org, Education / Training - Disability - Economic / Community - Children / Youth
1178905,Bristol Ccrc Trust,01179290900,hello@stnicholasbristol.org,"St. Nicholas Church, St. Nicholas Street, Bristol",BS1 1UE,51.453839,-2.592948,http://stnicholasbristol.org, Religious - Children / Youth - Elderly
1179331,Bristol Children'S Playhouse Limited,01179510037,admin@bcph.org.uk,"Bristol Children'S Playhouse, Berkeley Green Road, Greenbank, Bristol",BS5 6LU,51.471755,-2.5555,http://www.bcph.org.uk/, Education / Training - Children / Youth
1093059,Bristol City Robins Foundation,01179630636,dan.white@bcfc.co.uk,"Ashton Gate Stadium, Ashton Road, Bristol",BS3 2EJ,51.440713,-2.620602,http://www.bcfc.co.uk/bristol-city-community-trust/, Education / Training - Health / Medical - Poverty - Sport & Recreation - Children / Youth - Elderly - Disability
1044496,Bristol Community Church Trust,01179478441,admin@bournechristiancentre.org,"Bourne Chapel, Waters Road, Kingwood, Bristol",BS15 8BE,51.462705,-2.515157,http://www.bournechristiancentre.org, Education / Training - Poverty - Overseas aid / famine - Religious - Children / Youth
1153227,Bristol Dojo,01275842856,info@bristoldojo.com,"Widconia, Redcliffe Bay, Portishead, Bristol",BS20 8JL,51.478255,-2.806265,http://www.bristoldojo.com, Health / Medical - Arts / culture / science - Sport & Recreation - Children / Youth - Disability - Ethnic / Racial
1156798,Bristol Early Years Teaching Consortium,07914701426,beytccharity@gmail.com,"C/O St Paul'S Children'S Centre, Little Bishop Street, Bristol",BS2 9JF,51.462215,-2.584894,, Education / Training - Poverty - Children / Youth
1192808,Bristol Education And Cultural Association,07523357246,bristoleca@gmail.com,"Salisbury, Salisbury Road, Paulton, Bristol",BS39 7RJ,51.300931,-2.495256,, Education / Training - Children / Youth
1182272,Bristol Gilbert & Sullivan Operatic Society,07761668401,secretary@bristolgsos.co.uk,"8 John Street, Kingswood, Bristol",BS15 8BT,51.462585,-2.515977,http://www.bristolgsos.com, Arts / culture / science - Children / Youth - Elderly
1182218,Bristol Gurmat Class,07703325038,info@bristolgurmatclass.com,"15 Elderberry Way, Almondsbury, Bristol",BS32 4FH,51.556459,-2.548988,http://www.bristolgurmatclass.com, Education / Training - Religious - Economic / Community - Human rights - Children / Youth
1165722,Bristol Hebrew Congregation,07912-526661,info@parkrowsynagogue.org,"Bristol Hebrew Congregation, The Synagogue, 9 Park Row, Bristol",BS1 5LP,51.455712,-2.599807,http://www.parkrowsynagogue.org, Education / Training - Poverty - Overseas aid / famine - Religious - Arts / culture / science - Environment - Human rights - Elderly - Ethnic / Racial
1138498,Bristol Hospitality Network,01173790011,contact@bhn.org.uk,"Bhn C/O Easton Family Centre, Beaufort Street, Easton, Bristol",BS5 0SQ,51.460535,-2.573961,http://www.bhn.org.uk, Religious - Children / Youth - Elderly - Disability
1182819,Bristol Inclusive Thrill Seekers,07580619119,hello@club-bits.com,"16 Muntjac Road, Langford, Bristol",BS40 5AH,51.342453,-2.783249,http://www.club-bits.com, Sport & Recreation - Children / Youth - Disability
1163987,Bristol Knowle Park Church Of The Nazarene,07967199995,revmattnorris@gmail.com,"Bristol Knowle Park, Church Of The Nazarene, Broad Walk, Bristol, Bs4 2Rb",BS4 2RB,51.432924,-2.569687,http://www.redcatchcommunitychurch.co.uk, Education / Training - Religious - Sport & Recreation - Children / Youth - Elderly
1134099,Bristol Noise,01179791399,info@thenoise.org.uk,"286 Filton Avenue, Horfield, Bristol",BS7 0BA,51.493787,-2.575345,http://www.thenoise.org.uk, Poverty - Children / Youth - Elderly - Disability - Ethnic / Racial
1147727,Bristol North West Foodbank,01179235343,office@bristolnwfoodbank.org.uk,"Bristol North West Foodbank, St. Andrews Church, Avonmouth Road, Bristol",BS11 9EN,51.500428,-2.698675,https://www.bristolnorthwestfoodbank.org.uk/, Education / Training - Health / Medical - Arts / culture / science - Sport & Recreation - Economic / Community - Children / Youth - Elderly - Disability
1186099,Bristol Pfc,01452245771,ryan@bristolable.co.uk,"Bristolable, Bristol Rovers Community Trust, The Memorial Stadium, Filton Avenue,  Horfield, Bristol",BS7 0BF,51.485826,-2.583611,https://www.bristolable.co.uk/, Sport & Recreation - Children / Youth - Elderly - Disability
1166817,Bristol Pride,07825192404,info@bristolpride.co.uk,"Bristol Pride, 34 Portland Square, Bristol",BS2 8RG,51.460914,-2.586359,http://www.bristolpride.co.uk, Education / Training - Arts / culture / science - Economic / Community - Human rights - Children / Youth
1181397,Bristol Puja Committee,07967293811,bristol.puja.committee@gmail.com,"54 Dirac Road, Ashley Down, Bristol",BS7 9LP,51.477958,-2.578154,http://www.bristolpujacommittee.co.uk, Overseas aid / famine - Religious - Arts / culture / science - Children / Youth - Elderly
1039843,Bristol Record Society,01179224224,bristolrecordsociety@gmail.com,"Bristol Record Society, Bristol Record Office, B Bond Warehouse, Smeaton Road, Bristol",BS1 6XN,51.447107,-2.622286,http://www.bristol.ac.uk/depts/history/bristolrecordsociety/, Children / Youth - Elderly
1126646,Bristol Refugee Rights,07526352353,info@bristolrefugeerights.org,"Wellspring Settlement, 43 Ducie Road, Bristol",BS5 0AX,51.45626,-2.563674,http://www.bristolrefugeerights.org, Education / Training - Arts / culture / science - Children / Youth - Ethnic / Racial
1088148,Bristol Rovers Community Trust,01179522581,mattbennett@bristolroverscommunity.org.uk,"Bristol Rovers Football Club, The Memorial Stadium, Filton Avenue, Horfield, Bristol",BS7 0BF,51.485826,-2.583611,http://www.bristolroverscommunity.org.uk, Sport & Recreation - Children / Youth - Elderly - Disability
1137395,Bristol Rugby Community Foundation,01179581651,ccapel@bristolbearsrugby.com,"Ashton Gate Stadium, Ashton, Bristol",BS3 2EJ,51.440713,-2.620602,https://www.bristolbearsrugby.com/community, Education / Training - Health / Medical - Poverty - Sport & Recreation - Children / Youth - Elderly - Disability
1162067,Bristol Schools Connection,01275392191,jane@bristolschoolsconnection.co.uk,"45 Yanley Lane, Long Ashton, Bristol",BS41 9LR,51.424633,-2.648935,http://www.bristolschoolsconnection.co.uk, Education / Training - Religious - Children / Youth - Ethnic / Racial
1128721,Bristol Somali Resource Centre (Bsrc),01179077994,info@somalicentre.co.uk,"43 Ducie Road, Lawrence Hill, Bristol",BS5 0AX,51.45626,-2.563674,http://somalicentre.co.uk, Education / Training - Arts / culture / science - Children / Youth - Ethnic / Racial
1153091,Bristol Street Pastors,01179739111,bristol@streetpastors.org.uk,"208 Kellaway Avenue, Bristol",BS6 7YL,51.485118,-2.595642,http://bristol.streetpastors.org, Education / Training - Health / Medical - Poverty - Religious - Human rights - Children / Youth
1170110,Bristol Women'S Voice,07752552169,info@bristolwomensvoice.org.uk,"Vassall Centre Trust, The Vassall Centre, Gill Avenue, Bristol",BS16 2QQ,51.486106,-2.522305,http://www.bristolwomensvoice.org.uk/, Education / Training - Disability - Economic / Community - Human rights - Children / Youth - Elderly
1069941,Bristol Zen Dojo (1998) Ltd,01179424347,a.tuttiett@virginmedia.com,"91-93 Gloucester Road, Bishopston, Bristol",BS7 8AT,51.472796,-2.590888,http://www.izauk.org, Education / Training - Arts / culture / science - Sport & Recreation - Environment - Children / Youth
1182230,Britannia Maritime Aid,07944895363,info@britanniamaritimeaid.com,"Apartment 1, Oculus House, Lime Kiln Road, Bristol",BS1 5DN,51.45009,-2.606858,http://britanniamaritimeaid.com, Education / Training - Health / Medical - Disability - Poverty - Environment - Armed forces - Children / Youth - Elderly
1135319,British Society For Paediatric Endocrinology And Diabetes,01454642258,bsped@endocrinology.org,"Starling House, Unit 1600, Bradley Stoke, Bristol",BS34 8YU,51.517674,-2.53241,http://www.bsped.org.uk, Health / Medical - Children / Youth - Elderly - Disability
1173713,Brunel Field Primary School  Parent Staff Association,01173532471,brunelfieldpsa@gmail.com,"Brunel Field Primary School, Arthur Milton Street, Bristol",BS7 9JT,51.480447,-2.582217,https://www.brunelfieldpsa.org.uk, Education / Training - Children / Youth - Disability
1159048,Buddies Of Badocks,,jessica.claridge@badockswoodschool.co.uk,"50 Westleigh Road, Bristol",BS10 5QZ,51.502555,-2.600364,, Education / Training - Children / Youth
1168333,Butterflies - Haven,01179862131,butterfliesnetwork@hotmail.com,"St Francis Church, Warwick Road, Keynsham, Bristol",BS31 2PW,51.408204,-2.505544,http://www.butterflies-haven.co.uk, Disability - Children / Youth
1148162,Butterfly Space,01454411910,blondieleap@hotmail.com,"Dot Cottage, 7 Castle Street, Thornbury, Bristol",BS35 1HA,51.609838,-2.526614,http://www.butterfly-space.com, Health / Medical - Disability - Children / Youth - Elderly
1162089,Cairns Road Baptist Church,01179425669,office@cairnsroad.org,"Cairns Road Baptist Church, Cairns Road, Bristol",BS6 7TH,51.480226,-2.60452,http://www.cairnsroad.org, Religious - Children / Youth - Elderly
273147,Canterbury Independent School Limited,01227731145,clerk@canterburysteiner.co.uk,"Godfrey Wilson, 5Th Floor,  Mariner House, 62,  Princes Street, Bristol",BS1 4QD,51.449753,-2.597097,, Education / Training - Children / Youth
1151645,Caring In Bristol,01179244444,finance@caringinbristol.org.uk,"The Night Shelter, 14 Little Bishop Street, Bristol",BS2 9JF,51.462215,-2.584894,http://www.caringinbristol.co.uk, Education / Training - Poverty - Children / Youth
1193385,Catalyst Foundation,07825679630,mayda@catalystfoundation.life,"Ash House, Fountain Court, New Leaze, Bradley Stoke, Bristol",BS32 4LA,51.546271,-2.560519,, Disability - Children / Youth
1157457,Cathedral Primary School Pta,07792499618,cathedralprimaryschoolpta@gmail.com,"Cathedral Primary School, College Square, Bristol",BS1 5TS,51.451211,-2.600784,http://www.cathedralprimaryschool.org/parents/pta, Education / Training - Economic / Community - Sport & Recreation - Children / Youth
327805,Centre For Studies On Inclusive Education Limited,01173533150,admin@csie.org.uk,"The Park Centre, Daventry Road, Bristol",BS4 1DQ,51.430538,-2.581352,http://www.csie.org.uk, Education / Training - Sport & Recreation - Children / Youth
1143037,Centre For Thriving Places,07474408024,hello@centreforthrivingplaces.org,"C/O Godfrey Wilson Ltd, Mariner House, 62 Prince Street, Bristol",BS1 4QD,51.449753,-2.597097,http://www.centreforthrivingplaces.org, Education / Training - Children / Youth
1070079,Cerebral Palsy Plus,01179655028,office@cerebralpalsyplus.org.uk,"Cpp, The Vassall Centre, Gill Avenue, Bristol",BS16 2QQ,51.486106,-2.522305,http://www.cerebralpalsyplus.org.uk, Education / Training - Disability - Economic / Community - Human rights - Children / Youth - Elderly
1175054,Cfd (Centre For Deaf And Hard Of Hearing People),01179398653,office@centrefordeaf.org.uk,"Centre For Deaf And Hard Of Hearing, The Vassall Centre, Gill Avenue, Bristol",BS16 2QQ,51.486106,-2.522305,http://cfd.org.uk, Education / Training - Disability - Economic / Community - Human rights - Children / Youth - Elderly
